contrast,question,case,variant,mode,repetition,candidate_configuration,baseline_configuration,candidate_feasible,baseline_feasible,candidate_revenue_neutrality_compliant,baseline_revenue_neutrality_compliant,feasibility_outcome,valid_economic_comparison,mode_aligned_economic_gain,aggregator_revenue_delta,pto_cost_reduction,candidate_llm_total_tokens,candidate_llm_approximate_cost_usd
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,selfish,1,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48681.0,0.00902973
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,selfish,1,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-30.17708595828669,-22.515292406627495,48681.0,0.00902973
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,selfish,1,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48681.0,0.00902973
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,selfish,2,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48626.0,0.00774999
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,selfish,2,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-30.17708595828669,-22.515292406627495,48626.0,0.00774999
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,selfish,2,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48626.0,0.00774999
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,selfish,3,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48693.0,0.00782944
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,selfish,3,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-30.17708595828669,-22.515292406627495,48693.0,0.00782944
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,selfish,3,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48693.0,0.00782944
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,selfish,4,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48697.0,0.00776869
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,selfish,4,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-30.17708595828669,-22.515292406627495,48697.0,0.00776869
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,selfish,4,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48697.0,0.00776869
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,selfish,5,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48687.0,0.00773484
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,selfish,5,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-30.17708595828669,-22.515292406627495,48687.0,0.00773484
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,selfish,5,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48687.0,0.00773484
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,altruistic,1,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48682.0,0.00895113
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,altruistic,1,agent_trigger_only,numerical_event_trigger,True,True,True,True,both_feasible,True,-13.367119659896645,-13.3072812742474,-13.367119659896645,48682.0,0.00895113
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,altruistic,1,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48682.0,0.00895113
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,altruistic,2,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48777.0,0.00783858
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,altruistic,2,agent_trigger_only,numerical_event_trigger,True,True,True,True,both_feasible,True,-13.367119659896645,-13.3072812742474,-13.367119659896645,48777.0,0.00783858
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,altruistic,2,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48777.0,0.00783858
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,altruistic,3,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48583.0,0.00768843
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,altruistic,3,agent_trigger_only,numerical_event_trigger,True,True,True,True,both_feasible,True,-13.367119659896645,-13.3072812742474,-13.367119659896645,48583.0,0.00768843
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,altruistic,3,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48583.0,0.00768843
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,altruistic,4,agent_trigger_only,rule_text_event_trigger,False,True,True,True,baseline_only_feasible,False,,0.11145158038146974,-11.256609618528643,48646.0,0.00772603
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,altruistic,4,agent_trigger_only,numerical_event_trigger,False,True,True,True,baseline_only_feasible,False,,-13.19582969386593,-24.623729278425287,48646.0,0.00772603
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,altruistic,4,agent_trigger_only,oracle_event_trigger,False,True,True,True,baseline_only_feasible,False,,0.11145158038146974,-11.256609618528643,48646.0,0.00772603
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_route6_late_return,uncertain_chat,altruistic,5,agent_trigger_only,rule_text_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48675.0,0.00774658
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_route6_late_return,uncertain_chat,altruistic,5,agent_trigger_only,numerical_event_trigger,True,True,True,True,both_feasible,True,-13.367119659896645,-13.3072812742474,-13.367119659896645,48675.0,0.00774658
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_route6_late_return,uncertain_chat,altruistic,5,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,48675.0,0.00774658
