run_id,run_family,configuration,method,case,variant,mode,repetition,stochastic,uses_external_llm,model,reused_complete_workbook,workbook,workbook_sha256,solver_names,solver_fallback_errors,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope
aw_charger_bank_shutdown__selfish__uncertain_chat__rule_parser_trigger_substitution__r001,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,selfish,1,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_001.xlsx,6542084fcac1aaf7214e95430148159413f778342c089732ac010c3838169cc5,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,0,2,143.193784440606,13.01761743446612,,,,,,False,,,,130.1761670061399,1600.0,1.581301595221518e-05,0,0,0,0,0,0,0.2,0.2130520547945205,0,0,4,4,0,47113,12590,34511,12,2457,573,49570,26.046015,0.01183035,38.91036,19.734375,0.507175,3.169846,16,129.434,236.441,361.863,232.43,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__selfish__uncertain_chat__rule_parser_trigger_substitution__r002,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,selfish,2,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_002.xlsx,db50f109ca2056161f00cde23d91e60da49fda53d3e51954aee2001df0145392,['gurobi'],[],complete,48,4,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,0,2,141.0689557493188,22.07183858310628,,,,,,False,,,,118.9971171662125,1900.0,300.0,0,0,0,0,0,0,0.2,0.2048408219178082,0,0,8,8,0,97105,29380,67701,24,5554,1174,102659,52.397133,0.02418245,81.648198,87.671875,1.073776,6.7111,16,129.41,377.895,503.387,373.977,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__selfish__uncertain_chat__rule_parser_trigger_substitution__r003,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,selfish,3,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_003.xlsx,484871ba3ce65c7940ca61ead6be3e54ac6bcaa6b13d9d58764b29a01cc1187e,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,0,2,143.193784440606,13.01761743446612,,,,,,False,,,,130.1761670061399,1600.0,1.581301595221518e-05,0,0,0,0,0,0,0.2,0.2130520547945205,0,0,4,4,0,47029,22111,24906,12,2456,594,49485,25.458307,0.00961832,38.290683,19.953125,0.521096,3.256851,16,129.324,239.887,355.168,225.844,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__selfish__uncertain_chat__rule_parser_trigger_substitution__r004,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,selfish,4,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_004.xlsx,de4e004de935c8566d55f753fc8109c4b74b5955bc66006fdf99867db1989d60,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,0,2,143.193784440606,13.01761743446612,,,,,,False,,,,130.1761670061399,1600.0,1.581301595221518e-05,0,0,0,0,0,0,0.2,0.2130520547945205,0,0,4,4,0,47097,22111,24974,12,2377,491,49474,25.570804,0.00954052,38.563282,20.296875,0.526326,3.28954,16,129.367,238.512,363.484,234.117,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__selfish__uncertain_chat__rule_parser_trigger_substitution__r005,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,selfish,5,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_005.xlsx,19944579dcdc551363d8778d3ae4e849bb3b61450f330277a6ae069d83ba30a4,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,0,2,143.193784440606,13.01761743446612,,,,,,False,,,,130.1761670061399,1600.0,1.581301595221518e-05,0,0,0,0,0,0,0.2,0.2130520547945205,0,0,4,4,0,47046,22111,24923,12,2316,429,49362,23.897215,0.00945457,36.924634,19.984375,0.541221,3.382629,16,129.777,241.57,361.395,231.617,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r001,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_001.xlsx,90681327a926db38c3b4b66bcf6f4517cd6efc43ff099751bb37eae8340b62d1,['gurobi'],[],complete,48,4,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,0,2,0,2,119.8688060872867,5.166934519492657,18.4285133071845,0.5,9.214256653592248,4.04732213409959,False,True,9.214256653592248,4.04732213409959,False,114.7018715677941,1999.999962425884,400.0,0,0,0,0,0,0,0.2,0.2048408219178082,0,0,8,8,0,95268,23020,72224,24,6496,1852,101764,63.329453,0.0263164,100.715013,122.703125,1.21832,7.614501,16,129.223,303.633,489.383,360.16,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r002,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,altruistic,2,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_002.xlsx,9ffa8ae144c24c0b09b266f3b93574ace76cb2b4ef8dab969f0bd13bda241b73,['gurobi'],[],complete,48,4,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,1,1,0,2,125.1344718883869,9.397801588659386,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,115.7366702997275,2000.0,400.0,0,0,0,0,0,0,0.2,0.2048408219178082,0,0,8,8,0,94710,27232,67454,24,6453,1842,101163,63.124159,0.02515654,91.629395,51.875,0.566139,3.538371,16,129.242,283.254,381.344,252.102,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r003,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,altruistic,3,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_003.xlsx,db58518394b039d11dc8103aad0708e92350e0c0cb1f5ccd9013b525b3de52ad,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,0,2,126.4381555313352,11.73628087193461,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.7018746594005,2000.0,400.0,0,0,0,0,0,0,0.2,0.2048408219178082,0,0,6,6,0,70174,21477,48679,18,3940,841,74114,39.413852,0.01733089,62.688236,40.296875,0.642814,4.017587,16,129.453,250.445,367.988,238.535,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r004,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,altruistic,4,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_004.xlsx,91a940f565f8759841c5148c8ecfe549ceefe1f4d6562d072e3510c7fbef3438,['gurobi'],[],complete,48,4,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,2,0,1,2,125.1344718883869,9.397801588659386,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,115.7366702997275,2000.0,400.0,0,0,0,0,0,0,0.2,0.2048408219178082,0,0,8,8,0,94325,27232,67069,24,5931,1775,100256,65.585475,0.02443389,93.519661,47.859375,0.511757,3.198484,16,129.387,283.254,383.547,254.16,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r005,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_charger_bank_shutdown,uncertain_chat,altruistic,5,True,True,gpt-5.6-luna,False,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_005.xlsx,e8cc5825c452b3f1f92bcf69bd9d12a5c5403e1d73db45402f3066f9c836de6e,['gurobi'],[],complete,48,4,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",2,1,1,0,2,125.1344718883869,9.397801588659386,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,115.7366702997275,2000.0,400.0,0,0,0,0,0,0,0.2,0.2048408219178082,0,0,8,8,0,94767,32614,62129,24,6061,1599,100828,62.326127,0.02346253,92.182953,55.8125,0.605454,3.784085,16,129.629,291.84,387.559,257.93,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
