run_id,configuration,case,variant,mode,repetition,workbook,timestep,attempt_count,objective_metric,best_usable_attempt,best_usable_economic_attempt,selected_attempt,evaluator_accepted_attempt,best_usable_objective,best_usable_candidate_objective,selected_objective,selected_is_best_usable_candidate,selected_is_best_usable_objective,selected_objective_regret,accepted_rerun_worse_than_earlier_usable_attempt,accepted_rerun_economically_worse_than_earlier_usable_attempt,rejected_negative_pto_cost_count,no_op_rejection_feedback_count
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r001,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_001.xlsx,5,2,projected_full_day_pto_cost,2,1,2,,118.119122,119.321118,119.321118,True,False,1.201995999999994,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r001,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_001.xlsx,11,2,projected_full_day_pto_cost,2,1,2,,118.275975,119.868807,119.868807,True,False,1.5928320000000014,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r002,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,2,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_002.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r002,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,2,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_002.xlsx,11,2,projected_full_day_pto_cost,1,1,1,,125.134472,125.134472,125.134472,True,True,0.0,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r003,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,3,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_003.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,121.380887,126.438156,126.438156,True,False,5.057269000000005,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r003,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,3,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_003.xlsx,11,1,projected_full_day_pto_cost,1,1,1,1.0,126.438155,126.438155,126.438155,True,True,0.0,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r004,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,4,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_004.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r004,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,4,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_004.xlsx,11,2,projected_full_day_pto_cost,1,1,1,2.0,125.134472,125.134472,125.134472,True,True,0.0,True,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r005,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,5,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_005.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__rule_parser_trigger_substitution__r005,rule_parser_trigger_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,5,results/revision/v8_targeted_rule_parser_charger/aw_charger_bank_shutdown/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_005.xlsx,11,2,projected_full_day_pto_cost,1,2,1,,124.946109,125.134472,125.134472,True,False,0.1883629999999954,False,False,0,0
