run_id,run_family,configuration,method,case,variant,mode,repetition,stochastic,uses_external_llm,model,reused_complete_workbook,workbook,workbook_sha256,solver_names,solver_fallback_errors,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope
aw_route6_late_return__altruistic__uncertain_chat__full_agentic__r001,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,altruistic,1,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/full_agentic_rep_001.xlsx,1af26b76439ce79df91527c1d0213c79486a4f8e78397f39445902d54b7995e3,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,94036,21789,72223,24,4752,1155,98788,38.091262,0.02419873,55.257174,19.421875,0.351482,2.196759,16,128.859,243.285,334.949,206.09,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__full_agentic__r002,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,altruistic,2,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/full_agentic_rep_002.xlsx,16e1633246369e971b9eb632cb453262c4c25a551680c746d371e658fdf4fe0f,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,94167,38163,55980,24,4948,1080,99115,36.352261,0.02070066,48.785519,19.484375,0.399388,2.496178,16,128.578,239.312,332.16,203.582,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__full_agentic__r003,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,altruistic,3,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/full_agentic_rep_003.xlsx,b4508d6837dd697469c59e4f4f60be7dcde9866af96216fdf3389bddbac3bb1b,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,1,0,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,94324,38163,56137,24,4641,831,98965,34.934351,0.02037151,47.12481,18.96875,0.402522,2.515759,16,128.68,244.441,341.586,212.906,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__full_agentic__r004,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,altruistic,4,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/full_agentic_rep_004.xlsx,fb3bc6a618bc8f4265922d948e198873fe83f5dfa90b8039b3949f023f90347f,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,93858,38163,55671,24,4446,974,98304,34.063794,0.02002101,46.412705,19.5625,0.42149,2.634314,16,129.008,239.664,332.996,203.988,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__full_agentic__r005,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,altruistic,5,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/full_agentic_rep_005.xlsx,4dfe1ce314e9c2202d3a04d95490540299d316e602f63a1940dec5f928dce4fa,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,94490,38163,56303,24,5050,986,99540,40.112935,0.02090381,52.355662,19.515625,0.372751,2.329694,16,128.855,251.828,348.188,219.332,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__rule_parser_trigger_substitution__r001,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_route6_late_return,uncertain_chat,altruistic,1,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_001.xlsx,420f954322cd82d43fd0cbf3c7f18e947c6d485f0673385d396a49c7bd9f1644,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,4,4,0,46627,11508,35107,12,3005,770,49632,23.147023,0.01261531,35.408842,19.078125,0.538796,3.367472,16,128.891,238.68,330.039,201.148,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__rule_parser_trigger_substitution__r002,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_route6_late_return,uncertain_chat,altruistic,2,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_002.xlsx,4df5c0d4a49c11d4ed61bc0bd0aba7c72e4c9014c7aa6dca797e36936ec8e1cb,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",1,1,0,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,4,4,0,46725,15726,30987,12,2822,642,49547,22.534734,0.01145007,34.641546,19.109375,0.551632,3.447698,16,128.973,236.895,329.516,200.543,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__rule_parser_trigger_substitution__r003,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_route6_late_return,uncertain_chat,altruistic,3,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_003.xlsx,52120ce9c47accd053abd8bf785480de081c30b8edda66ae979dba252ba0b339,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,4,4,0,46693,15726,30955,12,3330,941,50023,24.123938,0.01205167,36.253193,19.328125,0.533143,3.332142,16,128.824,236.422,333.281,204.457,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__rule_parser_trigger_substitution__r004,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_route6_late_return,uncertain_chat,altruistic,4,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_004.xlsx,5a6c2f6c4c5c127d02152ccc755ebf1c746a5c06a8080ab5aaf26205c90fb405,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",1,0,1,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,4,4,0,46873,15726,31135,12,3386,855,50259,24.146575,0.01216387,36.418846,19.328125,0.530718,3.316985,16,128.992,237.113,331.223,202.23,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
aw_route6_late_return__altruistic__uncertain_chat__rule_parser_trigger_substitution__r005,secondary_role_ablation,rule_parser_trigger_substitution,rule_trigger_ablation,aw_route6_late_return,uncertain_chat,altruistic,5,True,True,gpt-5.6-luna,False,results/revision/ablation_altruistic_v6/aw_route6_late_return/altruistic/uncertain_chat/rule_parser_trigger_substitution_rep_005.xlsx,4454f30da72a4f4cfb36a0ed0ecb1b3238a3176913ccc6f42fc59400c96ec7b5,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}",1,1,0,0,1,123.710099627881,9.4666679269491,18.4285133071845,0.5,9.214256653592248,0.0,True,True,9.214256653592248,0.0,True,114.2434317009319,2000.0,395.1886,4.811400000000006,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,4,4,0,46621,15726,30883,12,2658,530,49279,20.066622,0.01122727,32.238312,18.90625,0.586453,3.66533,16,128.852,237.324,332.73,203.879,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API
