contrast,question,case,variant,mode,n_pairs,candidate_feasible_rate,baseline_feasible_rate,net_feasibility_advantage_rate,candidate_revenue_neutrality_compliance_rate,baseline_revenue_neutrality_compliance_rate,candidate_only_feasible_count,baseline_only_feasible_count,both_feasible_count,neither_feasible_count,comparable_feasible_pairs,mode_aligned_economic_gain_mean,mode_aligned_economic_gain_std,mode_aligned_economic_gain_ci95_low,mode_aligned_economic_gain_ci95_high,economic_wins,economic_ties,economic_losses,candidate_llm_total_tokens,candidate_llm_approximate_cost_usd
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,altruistic,5,0.0,0.0,0.0,1.0,1.0,0,0,0,5,0,,,,,0,0,0,238319.0,0.040461109999999995
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,selfish,5,0.0,0.0,0.0,1.0,1.0,0,0,0,5,0,,,,,0,0,0,237468.0,0.04113362
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,altruistic,5,0.6,0.0,0.6,1.0,1.0,3,0,0,2,0,,,,,0,0,0,312697.0,0.05496318000000001
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,selfish,5,1.0,0.0,1.0,1.0,1.0,5,0,0,0,0,,,,,0,0,0,310854.0,0.05397142
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,altruistic,5,0.0,0.0,0.0,1.0,1.0,0,0,0,5,0,,,,,0,0,0,238319.0,0.040461109999999995
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,selfish,5,0.0,0.0,0.0,1.0,1.0,0,0,0,5,0,,,,,0,0,0,237468.0,0.04113362
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,altruistic,5,0.6,1.0,-0.4,1.0,1.0,0,2,3,0,3,0.0,0.0,0.0,0.0,0,3,0,312697.0,0.05496318000000001
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,selfish,5,1.0,1.0,0.0,1.0,1.0,0,0,5,0,5,-1.5201550951360333e-08,1.387705394187362e-08,-2.533591825226722e-08,-5.067183650453444e-09,0,5,0,310854.0,0.05397142
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,altruistic,5,0.0,0.0,0.0,1.0,1.0,0,0,0,5,0,,,,,0,0,0,238319.0,0.040461109999999995
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,selfish,5,0.0,0.0,0.0,1.0,1.0,0,0,0,5,0,,,,,0,0,0,237468.0,0.04113362
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,altruistic,5,0.6,0.0,0.6,1.0,1.0,3,0,0,2,0,,,,,0,0,0,312697.0,0.05496318000000001
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,selfish,5,1.0,0.0,1.0,1.0,1.0,5,0,0,0,0,,,,,0,0,0,310854.0,0.05397142
