contrast,question,case,variant,mode,repetition,candidate_configuration,baseline_configuration,candidate_feasible,baseline_feasible,candidate_revenue_neutrality_compliant,baseline_revenue_neutrality_compliant,feasibility_outcome,valid_economic_comparison,mode_aligned_economic_gain,aggregator_revenue_delta,pto_cost_reduction,candidate_llm_total_tokens,candidate_llm_approximate_cost_usd
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,selfish,1,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-6.632313726914916,1.2387932909475978,47611.0,0.01034616
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,selfish,1,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47611.0,0.01034616
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,selfish,1,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,-1.325872744928347e-11,-2.921751729445532e-11,47611.0,0.01034616
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,selfish,2,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-6.632313726914916,1.2387932909475978,47249.0,0.00749889
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,selfish,2,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47249.0,0.00749889
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,selfish,2,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,-1.325872744928347e-11,-2.921751729445532e-11,47249.0,0.00749889
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,selfish,3,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-6.632313726914916,1.2387932909475978,47774.0,0.00795979
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,selfish,3,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47774.0,0.00795979
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,selfish,3,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,-1.325872744928347e-11,-2.921751729445532e-11,47774.0,0.00795979
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,selfish,4,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-6.632313726914916,1.2387932909475978,47250.0,0.00760839
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,selfish,4,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47250.0,0.00760839
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,selfish,4,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,-1.325872744928347e-11,-2.921751729445532e-11,47250.0,0.00760839
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,selfish,5,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-6.632313726914916,1.2387932909475978,47584.0,0.00772039
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,selfish,5,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47584.0,0.00772039
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,selfish,5,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,-1.325872744928347e-11,-2.921751729445532e-11,47584.0,0.00772039
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,altruistic,1,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-5.770724766214231,0.3771972969481112,47801.0,0.00923723
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,altruistic,1,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47801.0,0.00923723
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,altruistic,1,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47801.0,0.00923723
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,altruistic,2,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-5.770724766214231,0.3771972969481112,47351.0,0.00766747
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,altruistic,2,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47351.0,0.00766747
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,altruistic,2,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47351.0,0.00766747
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,altruistic,3,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-5.770724766214231,0.3771972969481112,47660.0,0.00778367
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,altruistic,3,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47660.0,0.00778367
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,altruistic,3,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47660.0,0.00778367
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,altruistic,4,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-5.770724766214231,0.3771972969481112,47814.0,0.00795707
