case,mode,configuration,repetition,canonical_priority_satisfied,canonical_priority_compliance_gap,projected_full_day_pto_cost,projected_full_day_aggregator_revenue,optimization_strategy,lexicographic_priority_applied,lexicographic_optimality_proven,minimum_operational_priority_slack,priority_detected,objective_correct,assets_correct,window_correct,target_correct,interpretation_exact,mode_aligned_score
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,1,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,2,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,3,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,4,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,5,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,evaluator_removal_control,1,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,rule_text_evaluator,1,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,altruistic,structured_evaluator_oracle,1,,,125.134472,9.397802,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-125.134472
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,1,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,2,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,3,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,4,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,5,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_charger_bank_shutdown,selfish,evaluator_removal_control,1,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_charger_bank_shutdown,selfish,rule_text_evaluator,1,,,142.242882,20.035988,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,20.035988
aw_charger_bank_shutdown,selfish,structured_evaluator_oracle,1,,,143.193785,13.017618,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,13.017618
aw_combined_evening,altruistic,agent_evaluator_raw_text,1,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,-121.676451
aw_combined_evening,altruistic,agent_evaluator_raw_text,2,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,-121.676451
aw_combined_evening,altruistic,agent_evaluator_raw_text,3,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,-121.676451
aw_combined_evening,altruistic,agent_evaluator_raw_text,4,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,-121.676451
aw_combined_evening,altruistic,agent_evaluator_raw_text,5,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,-121.676451
aw_combined_evening,altruistic,evaluator_removal_control,1,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-121.676451
aw_combined_evening,altruistic,rule_text_evaluator,1,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-121.676451
aw_combined_evening,altruistic,structured_evaluator_oracle,1,True,0.135036,121.676451,12.175451,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,-121.676451
aw_combined_evening,selfish,agent_evaluator_raw_text,1,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,28.89715
aw_combined_evening,selfish,agent_evaluator_raw_text,2,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,28.89715
aw_combined_evening,selfish,agent_evaluator_raw_text,3,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,28.89715
aw_combined_evening,selfish,agent_evaluator_raw_text,4,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,28.89715
aw_combined_evening,selfish,agent_evaluator_raw_text,5,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,28.89715
aw_combined_evening,selfish,evaluator_removal_control,1,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,28.89715
