notice_id,scenario_id,event_id,source_type,wording_variant,report_timestep,text,canonical
SVC-01-onset-explicit,svc_route4_detour,SVC-01,service_alert,explicit,10,"Route block 4, served by bus 4, is detoured. Cycle time will increase 25 minutes and route energy consumption is expected to increase 10 percent.","{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":25},""energy_multiplier_by_bus"":{""4"":1.1},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-onset-indirect,svc_route4_detour,SVC-01,service_alert,indirect,10,Water-main work diverts route 4; bus 4 should allow roughly 25 extra minutes and about 10% more traction energy.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":25},""energy_multiplier_by_bus"":{""4"":1.1},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-onset-operational,svc_route4_detour,SVC-01,service_alert,operational,10,Ops ticket SVC-01: water-main diversion on block 4. Unit 4 planning allowance is +25 min and 1.10x traction energy; clearance time pending.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":25},""energy_multiplier_by_bus"":{""4"":1.1},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-persistence-explicit,svc_route4_detour,SVC-01,service_alert,explicit,11,"The condition continues unchanged. Route block 4, served by bus 4, is detoured. Cycle time will increase 25 minutes and route energy consumption is expected to increase 10 percent.","{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":25},""energy_multiplier_by_bus"":{""4"":1.1},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-persistence-indirect,svc_route4_detour,SVC-01,service_alert,indirect,11,The condition continues unchanged. Water-main work diverts route 4; bus 4 should allow roughly 25 extra minutes and about 10% more traction energy.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":25},""energy_multiplier_by_bus"":{""4"":1.1},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-persistence-operational,svc_route4_detour,SVC-01,service_alert,operational,11,SVC-01 field follow-up: no change from the last dispatch instruction; the same restrictions and planning assumptions remain in force.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":25},""energy_multiplier_by_bus"":{""4"":1.1},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-severity_change-explicit,svc_route4_detour,SVC-01,service_alert,explicit,12,The condition has worsened and requires re-evaluation. Bus 4 is now delayed 35 minutes. Bus 4 energy consumption now increases 15 percent.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""severity_change"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":12,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":35},""energy_multiplier_by_bus"":{""4"":1.15},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-severity_change-indirect,svc_route4_detour,SVC-01,service_alert,indirect,12,The condition has worsened and requires re-evaluation. Bus 4 is now delayed 35 minutes. Bus 4 energy consumption now increases 15 percent.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""severity_change"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":12,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":35},""energy_multiplier_by_bus"":{""4"":1.15},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-severity_change-operational,svc_route4_detour,SVC-01,service_alert,operational,12,SVC-01 dispatch correction: replace the earlier timing allowance with 35 min; use 1.15x traction energy for that block. Earlier values are superseded.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""severity_change"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":12,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":35},""energy_multiplier_by_bus"":{""4"":1.15},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-recovery-explicit,svc_route4_detour,SVC-01,service_alert,explicit,14,Normal service is restored for buses 4.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""recovery"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":14,""expected_end_timestep"":null,""uncertainty"":false,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-recovery-indirect,svc_route4_detour,SVC-01,service_alert,indirect,14,Normal service is restored for buses 4.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""recovery"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":14,""expected_end_timestep"":null,""uncertainty"":false,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-recovery-operational,svc_route4_detour,SVC-01,service_alert,operational,14,"SVC-01 close-out: the field restriction is cleared at the current report time. Return the affected block and charging unit, where applicable, to normal planning assumptions.","{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""recovery"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":14,""expected_end_timestep"":null,""uncertainty"":false,""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-stable-explicit,svc_route4_detour,SVC-01,service_alert,explicit,15,Informational: the recovered state is stable and has no new operational impact.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""stable"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":15,""expected_end_timestep"":null,""uncertainty"":false,""material"":false,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-stable-indirect,svc_route4_detour,SVC-01,service_alert,indirect,15,Informational: the recovered state is stable and has no new operational impact.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""stable"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":15,""expected_end_timestep"":null,""uncertainty"":false,""material"":false,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-01-stable-operational,svc_route4_detour,SVC-01,service_alert,operational,15,SVC-01 monitoring note: close-out remains valid; no new dispatch or charging restriction.,"{""event_id"":""SVC-01"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""stable"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":15,""expected_end_timestep"":null,""uncertainty"":false,""material"":false,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route4_detour""]}"
SVC-02-onset-explicit,svc_route6_closure,SVC-02,service_alert,explicit,10,"Route block 6, bus 6, is partially closed. Service delay is 20 minutes and energy consumption increases 8 percent.","{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":20},""energy_multiplier_by_bus"":{""6"":1.08},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
SVC-02-onset-indirect,svc_route6_closure,SVC-02,service_alert,indirect,10,Construction narrows route 6. Bus 6 may need approximately 20 minutes longer and around 8% additional energy.,"{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":20},""energy_multiplier_by_bus"":{""6"":1.08},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
SVC-02-onset-operational,svc_route6_closure,SVC-02,service_alert,operational,10,Dispatch SVC-02: construction restriction on block 6. Carry +20 min for unit 6 and plan at 1.08x normal traction use; end time not confirmed.,"{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":20},""energy_multiplier_by_bus"":{""6"":1.08},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
SVC-02-persistence-explicit,svc_route6_closure,SVC-02,service_alert,explicit,11,"The condition continues unchanged. Route block 6, bus 6, is partially closed. Service delay is 20 minutes and energy consumption increases 8 percent.","{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":20},""energy_multiplier_by_bus"":{""6"":1.08},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
SVC-02-persistence-indirect,svc_route6_closure,SVC-02,service_alert,indirect,11,The condition continues unchanged. Construction narrows route 6. Bus 6 may need approximately 20 minutes longer and around 8% additional energy.,"{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":20},""energy_multiplier_by_bus"":{""6"":1.08},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
SVC-02-persistence-operational,svc_route6_closure,SVC-02,service_alert,operational,11,SVC-02 field follow-up: no change from the last dispatch instruction; the same restrictions and planning assumptions remain in force.,"{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":20},""energy_multiplier_by_bus"":{""6"":1.08},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
SVC-02-severity_change-explicit,svc_route6_closure,SVC-02,service_alert,explicit,12,The condition has worsened and requires re-evaluation. Bus 6 is now delayed 28 minutes. Bus 6 energy consumption now increases 12 percent.,"{""event_id"":""SVC-02"",""source_type"":""service_alert"",""event_type"":""service_delay"",""phase"":""severity_change"",""affected_buses"":[6],""affected_chargers"":[],""effective_timestep"":12,""expected_end_timestep"":14,""uncertainty"":true,""material"":true,""updates"":{""delay_minutes_by_bus"":{""6"":28},""energy_multiplier_by_bus"":{""6"":1.12},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_scenario_v2"",""svc_route6_closure""]}"
