case,mode,candidate,baseline,compliance_rate_delta,interpretation_exact_rate_delta,projected_full_day_pto_cost_delta,mode_aligned_score_delta,agent_compliant,baseline_compliant,incremental_full_day_pto_cost_of_compliance,mode_aligned_regret_vs_structured_oracle
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,rule_text_evaluator,,0.0,0.0,0.0,False,False,,
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,structured_evaluator_oracle,,0.0,0.0,0.0,False,False,,
aw_charger_bank_shutdown,altruistic,agent_evaluator_raw_text,evaluator_removal_control,,0.0,0.0,0.0,False,False,,
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,rule_text_evaluator,,0.0,0.9509029999999825,-7.018369999999997,False,False,,
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,structured_evaluator_oracle,,0.0,0.0,1.7763568394002505e-15,False,False,,
aw_charger_bank_shutdown,selfish,agent_evaluator_raw_text,evaluator_removal_control,,0.0,0.0,1.7763568394002505e-15,False,False,,
aw_combined_evening,altruistic,agent_evaluator_raw_text,rule_text_evaluator,0.0,1.0,0.0,0.0,True,True,,
aw_combined_evening,altruistic,agent_evaluator_raw_text,structured_evaluator_oracle,0.0,0.0,0.0,0.0,True,True,,0.0
aw_combined_evening,altruistic,agent_evaluator_raw_text,evaluator_removal_control,0.0,1.0,0.0,0.0,True,True,0.0,
aw_combined_evening,selfish,agent_evaluator_raw_text,rule_text_evaluator,0.0,1.0,0.0,0.0,True,True,,
aw_combined_evening,selfish,agent_evaluator_raw_text,structured_evaluator_oracle,0.0,0.0,0.0,0.0,True,True,,0.0
aw_combined_evening,selfish,agent_evaluator_raw_text,evaluator_removal_control,0.0,1.0,0.0,0.0,True,True,0.0,
aw_route6_late_return,altruistic,agent_evaluator_raw_text,rule_text_evaluator,0.0,0.0,0.0,0.0,True,True,,
aw_route6_late_return,altruistic,agent_evaluator_raw_text,structured_evaluator_oracle,0.0,0.0,0.0,0.0,True,True,,0.0
aw_route6_late_return,altruistic,agent_evaluator_raw_text,evaluator_removal_control,1.0,1.0,0.8823459999999983,-0.8823459999999983,True,False,0.8823459999999983,
aw_route6_late_return,selfish,agent_evaluator_raw_text,rule_text_evaluator,0.0,0.0,0.0,0.0,True,True,,
aw_route6_late_return,selfish,agent_evaluator_raw_text,structured_evaluator_oracle,0.0,0.0,0.0,0.0,True,True,,0.0
aw_route6_late_return,selfish,agent_evaluator_raw_text,evaluator_removal_control,1.0,1.0,0.0,0.0,True,False,0.0,
