run_id,configuration,case,variant,mode,repetition,workbook,timestep,attempt_count,objective_metric,best_usable_attempt,best_usable_economic_attempt,selected_attempt,evaluator_accepted_attempt,best_usable_objective,best_usable_candidate_objective,selected_objective,selected_is_best_usable_candidate,selected_is_best_usable_objective,selected_objective_regret,accepted_rerun_worse_than_earlier_usable_attempt,accepted_rerun_economically_worse_than_earlier_usable_attempt,rejected_negative_pto_cost_count,no_op_rejection_feedback_count
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r001,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_001.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r001,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_001.xlsx,11,2,projected_full_day_pto_cost,1,1,1,,125.134472,125.134472,125.134472,True,True,0.0,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r002,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,2,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_002.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r002,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,2,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_002.xlsx,11,2,projected_full_day_pto_cost,1,2,1,,124.94611,125.134472,125.134472,True,False,0.18836199999999792,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r003,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,3,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_003.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r003,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,3,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_003.xlsx,11,2,projected_full_day_pto_cost,1,2,1,,124.94611,125.134472,125.134472,True,False,0.18836199999999792,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r004,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,4,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_004.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r004,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,4,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_004.xlsx,11,1,projected_full_day_pto_cost,1,1,1,1.0,125.134472,125.134472,125.134472,True,True,0.0,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r005,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,5,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_005.xlsx,5,2,projected_full_day_pto_cost,2,1,2,2.0,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,True,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__deterministic_pricing_substitution__r005,deterministic_pricing_substitution,aw_charger_bank_shutdown,uncertain_chat,altruistic,5,results/revision/ablation_altruistic_v6/aw_charger_bank_shutdown/altruistic/uncertain_chat/deterministic_pricing_substitution_rep_005.xlsx,11,2,projected_full_day_pto_cost,1,2,1,,124.94611,125.134472,125.134472,True,False,0.18836199999999792,False,False,0,0
