"run_id","run_family","configuration","method","case","variant","mode","repetition","stochastic","uses_external_llm","model","reused_complete_workbook","workbook","workbook_sha256","solver_names","solver_fallback_errors","status","timesteps_completed","optimizer_calls","maximum_pricing_reruns","maximum_optimizer_attempts_per_trigger","agent_role_provenance","accepted_optimizer_calls","evaluator_accepted_optimizer_calls","forced_optimizer_selections","retained_better_candidate_selections","optimize_decisions","realized_pto_cost","realized_aggregator_revenue","realized_grid_net_cost","realized_buy_kwh","realized_sell_kwh","curtailed_energy_kwh","event_model_mismatch_timesteps","delay_parameter_absolute_error_minutes","return_delay_parameter_absolute_error_minutes","charger_power_absolute_error_kw","charger_availability_mismatch_count","minimum_observed_soc_fraction","terminal_minimum_soc_fraction","maximum_reserve_shortfall_kwh","reserve_violation_timesteps","llm_request_attempts","llm_successful_requests","llm_failed_attempts","llm_input_tokens","llm_cached_input_tokens","llm_cache_write_tokens","llm_uncached_input_tokens","llm_output_tokens","llm_reasoning_tokens","llm_total_tokens","llm_latency_seconds","llm_approximate_cost_usd","run_wall_seconds","run_process_cpu_seconds","run_average_cpu_cores","run_average_cpu_percent_total_capacity","run_logical_cpu_count","run_rss_start_mb","run_rss_end_mb","run_peak_rss_mb","run_peak_rss_delta_mb","run_memory_sampler_available","local_measurement_scope","provider_compute_scope"
"aw_route6_late_return__selfish__uncertain_chat__full_agentic__r001","secondary_role_ablation","full_agentic","full_agentic","aw_route6_late_return","uncertain_chat","selfish","1","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_001.xlsx","26fe3e03c3720ba0c7a0972777a8e41c55473e6f6fbc9570847e6b2862f54a23","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","8","8","0","94226","38889","55313","24","4807","835","99033","40.869028","0.02037923","52.379909","29.859375","0.570054","3.562837","16","129.301","274.695","351.305","222.004","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__full_agentic__r002","secondary_role_ablation","full_agentic","full_agentic","aw_route6_late_return","uncertain_chat","selfish","2","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_002.xlsx","dce28d79343cd037f7f5adacdbfe9a0ac0f0bb8ac8c38105f9a73e9436dd4daf","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","8","8","0","93881","38889","54968","24","4362","813","98243","37.862187","0.01975898","49.62736","29.703125","0.598523","3.74077","16","129.551","263.492","338.84","209.289","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__full_agentic__r003","secondary_role_ablation","full_agentic","full_agentic","aw_route6_late_return","uncertain_chat","selfish","3","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_003.xlsx","465d0750c1cc0ebde00b7e9a559034399da870868e028a1e3a586a408c581e34","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","8","8","0","93998","38889","55085","24","4578","933","98576","39.425758","0.02004743","51.05726","29.84375","0.584515","3.653221","16","129.527","275.816","353.082","223.555","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__full_agentic__r004","secondary_role_ablation","full_agentic","full_agentic","aw_route6_late_return","uncertain_chat","selfish","4","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_004.xlsx","4802a99ce39d62bbd7d5aca683b992c24cc380fc5d15f8dbdbcee1c2a0417ef9","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","8","8","0","93690","38889","54777","24","4591","1120","98281","40.93013","0.01998603","52.772194","30.109375","0.570554","3.565961","16","129.41","277.227","350.906","221.496","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__full_agentic__r005","secondary_role_ablation","full_agentic","full_agentic","aw_route6_late_return","uncertain_chat","selfish","5","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_005.xlsx","8b082b148e8598c6b4d8adeea2da651c234984fe438b11dc7bcbc9e4a436efb1","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","8","8","0","93691","38889","54778","24","4355","889","98046","41.301444","0.01970308","53.295844","29.953125","0.562016","3.512601","16","129.48","272.848","345.152","215.672","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__rule_parser_trigger_substitution__r001","secondary_role_ablation","rule_parser_trigger_substitution","rule_trigger_ablation","aw_route6_late_return","uncertain_chat","selfish","1","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_001.xlsx","61d67848d9451f7a6e7ccd00054bb6463a8565f04ca47e6865fb07e8f7b387e9","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}","1","0","1","0","1","141.0070269969797","18.81515663115412","122.1918703658256","1800.0","195.3614","4.638600000000011","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","4","4","0","46533","12236","34285","12","2768","626","49301","24.008051","0.01213997","35.671306","29.40625","0.824367","5.152294","16","129.371","340.859","400.086","270.715","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__rule_parser_trigger_substitution__r002","secondary_role_ablation","rule_parser_trigger_substitution","rule_trigger_ablation","aw_route6_late_return","uncertain_chat","selfish","2","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_002.xlsx","69c11486c0645df40f4b493ae16a64b071b11318faa313799bdbf9c342637e5f","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","4","4","0","46401","16112","30277","12","2571","442","48972","21.182605","0.01097909","32.798118","29.796875","0.908493","5.678084","16","129.258","251.789","330.125","200.867","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__rule_parser_trigger_substitution__r003","secondary_role_ablation","rule_parser_trigger_substitution","rule_trigger_ablation","aw_route6_late_return","uncertain_chat","selfish","3","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_003.xlsx","0e5e159d1121707108ee79a0339df9ae296981da75a6294c89a10037b1b820b5","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}","1","0","1","0","1","139.5493178124067","24.86033862335489","114.6889791890518","2000.0","395.3506","4.649399999999986","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","4","4","0","46594","16112","30470","12","3073","811","49667","27.096073","0.01162974","38.748712","29.734375","0.767364","4.796026","16","129.434","258.691","337.148","207.715","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__rule_parser_trigger_substitution__r004","secondary_role_ablation","rule_parser_trigger_substitution","rule_trigger_ablation","aw_route6_late_return","uncertain_chat","selfish","4","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_004.xlsx","528b5e4efb35b2958cfdf9c12105080a32674bea56cce97a6ac7d437ca27ae92","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","4","4","0","46384","16112","30260","12","2928","843","49312","25.068802","0.01140324","36.817665","29.078125","0.789787","4.936171","16","129.523","261.105","337.035","207.512","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
"aw_route6_late_return__selfish__uncertain_chat__rule_parser_trigger_substitution__r005","secondary_role_ablation","rule_parser_trigger_substitution","rule_trigger_ablation","aw_route6_late_return","uncertain_chat","selfish","5","True","True","gpt-5.6-luna","False","results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/rule_parser_trigger_substitution_rep_005.xlsx","d724a52839554f4e5b177e8739ab3835d388fd7d1862a71d290179101da4fa8c","['gurobi']","[]","complete","48","2","1","2","{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""RuleBasedAgentBackend"", ""evidence_gate"": true}}","1","0","1","0","1","139.540775040872","24.80918376021766","114.7315912806544","1999.999999999989","399.9999999999887","0.0","0","0","0","0","0","0.2","0.2048408219178082","0.0","0","4","4","0","46319","16112","30195","12","2608","530","48927","21.324927","0.01100299","33.124738","29.375","0.886799","5.542497","16","129.133","260.305","383.371","254.238","True","current Python process; native in-process solver work included","OpenAI server-side GPU/FLOPs/energy not exposed by API"
