contrast,question,case,variant,mode,candidate_configuration,baseline_configuration,metric,metric_label,preferred_direction,candidate_feasible_runs,baseline_feasible_runs,candidate_mean_feasible_only,baseline_mean_feasible_only,raw_candidate_minus_baseline,raw_difference_ci95_low,raw_difference_ci95_high,benefit_aligned_difference
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,downward_flexibility_cheap_buy_kwh,Cheap-period charging (downward flexibility delivered),higher,5,5,2000.0,2000.0,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,upward_flexibility_expensive_sell_kwh,Expensive-period V2G export (upward flexibility delivered),higher,5,5,395.1886,395.1886,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,price_aligned_flexibility_kwh,Cheap charging plus expensive V2G export,higher,5,5,2395.1886,2395.1886,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,cheap_period_buy_share,Share of charging completed in cheap-price intervals,higher,5,5,1.0,1.0,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,expensive_period_sell_share,Share of V2G export completed in expensive-price intervals,higher,5,5,1.0,1.0,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,energy_weighted_average_buy_grid_price,Energy-weighted grid price when charging,lower,5,5,0.08110247411444141,0.08110247411444141,0.0,0.0,0.0,-0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,energy_weighted_average_sell_grid_price,Energy-weighted grid price when exporting,higher,5,5,0.12136361354540832,0.12136361354540832,0.0,0.0,0.0,0.0
llm_trigger_contribution,What changes when the LLM Trigger is replaced by the frozen rule parser?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,rule_parser_trigger_substitution,peak_net_import_kwh_per_interval,Maximum realized net import in one 30-minute interval,lower,5,5,800.0,800.0,0.0,0.0,0.0,-0.0
llm_pricing_contribution,What changes when LLM pricing is replaced by the deterministic price-zone heuristic?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,deterministic_pricing_substitution,downward_flexibility_cheap_buy_kwh,Cheap-period charging (downward flexibility delivered),higher,5,5,2000.0,2000.0,0.0,0.0,0.0,0.0
llm_pricing_contribution,What changes when LLM pricing is replaced by the deterministic price-zone heuristic?,aw_route6_late_return,uncertain_chat,altruistic,full_agentic,deterministic_pricing_substitution,upward_flexibility_expensive_sell_kwh,Expensive-period V2G export (upward flexibility delivered),higher,5,5,395.1886,395.1886,0.0,0.0,0.0,0.0
