run_id,run_family,configuration,method,case,variant,mode,repetition,stochastic,uses_external_llm,model,reused_complete_workbook,workbook,workbook_sha256,solver_names,solver_fallback_errors,status,timesteps_completed,optimizer_calls,maximum_pricing_reruns,maximum_optimizer_attempts_per_trigger,agent_role_provenance,accepted_optimizer_calls,evaluator_accepted_optimizer_calls,forced_optimizer_selections,retained_better_candidate_selections,optimize_decisions,realized_pto_cost,realized_aggregator_revenue,realized_grid_net_cost,realized_buy_kwh,realized_sell_kwh,curtailed_energy_kwh,event_model_mismatch_timesteps,delay_parameter_absolute_error_minutes,return_delay_parameter_absolute_error_minutes,charger_power_absolute_error_kw,charger_availability_mismatch_count,minimum_observed_soc_fraction,terminal_minimum_soc_fraction,maximum_reserve_shortfall_kwh,reserve_violation_timesteps,llm_request_attempts,llm_successful_requests,llm_failed_attempts,llm_input_tokens,llm_cached_input_tokens,llm_cache_write_tokens,llm_uncached_input_tokens,llm_output_tokens,llm_reasoning_tokens,llm_total_tokens,llm_latency_seconds,llm_approximate_cost_usd,run_wall_seconds,run_process_cpu_seconds,run_average_cpu_cores,run_average_cpu_percent_total_capacity,run_logical_cpu_count,run_rss_start_mb,run_rss_end_mb,run_peak_rss_mb,run_peak_rss_delta_mb,run_memory_sampler_available,local_measurement_scope,provider_compute_scope,baseline_aggregator_revenue_reference,baseline_revenue_retention_fraction,baseline_revenue_retention_floor,baseline_revenue_retention_shortfall,baseline_revenue_retention_compliant,revenue_neutrality_active,revenue_neutrality_floor,revenue_neutrality_shortfall,revenue_neutrality_compliant
aw_route6_late_return__selfish__uncertain_chat__full_agentic__r001,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,selfish,1,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_001.xlsx,26fe3e03c3720ba0c7a0972777a8e41c55473e6f6fbc9570847e6b2862f54a23,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,139.540775040872,24.80918376021766,114.7315912806544,1999.999999999989,399.9999999999887,0.0,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,94226,38889,55313,24,4807,835,99033,40.869028,0.02037923,52.379909,29.859375,0.570054,3.562837,16,129.301,274.695,351.305,222.004,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_route6_late_return__selfish__uncertain_chat__full_agentic__r002,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,selfish,2,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_002.xlsx,dce28d79343cd037f7f5adacdbfe9a0ac0f0bb8ac8c38105f9a73e9436dd4daf,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,139.540775040872,24.80918376021766,114.7315912806544,1999.999999999989,399.9999999999887,0.0,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,93881,38889,54968,24,4362,813,98243,37.862187,0.01975898,49.62736,29.703125,0.598523,3.74077,16,129.551,263.492,338.84,209.289,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_route6_late_return__selfish__uncertain_chat__full_agentic__r003,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,selfish,3,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_003.xlsx,465d0750c1cc0ebde00b7e9a559034399da870868e028a1e3a586a408c581e34,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,139.540775040872,24.80918376021766,114.7315912806544,1999.999999999989,399.9999999999887,0.0,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,93998,38889,55085,24,4578,933,98576,39.425758,0.02004743,51.05726,29.84375,0.584515,3.653221,16,129.527,275.816,353.082,223.555,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_route6_late_return__selfish__uncertain_chat__full_agentic__r004,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,selfish,4,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_004.xlsx,4802a99ce39d62bbd7d5aca683b992c24cc380fc5d15f8dbdbcee1c2a0417ef9,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,139.540775040872,24.80918376021766,114.7315912806544,1999.999999999989,399.9999999999887,0.0,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,93690,38889,54777,24,4591,1120,98281,40.93013,0.01998603,52.772194,30.109375,0.570554,3.565961,16,129.41,277.227,350.906,221.496,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_route6_late_return__selfish__uncertain_chat__full_agentic__r005,secondary_role_ablation,full_agentic,full_agentic,aw_route6_late_return,uncertain_chat,selfish,5,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_route6_late_return/selfish/uncertain_chat/full_agentic_rep_005.xlsx,8b082b148e8598c6b4d8adeea2da651c234984fe438b11dc7bcbc9e4a436efb1,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",1,0,1,0,1,139.540775040872,24.80918376021766,114.7315912806544,1999.999999999989,399.9999999999887,0.0,0,0,0,0,0,0.2,0.2048408219178082,0.0,0,8,8,0,93691,38889,54778,24,4355,889,98046,41.301444,0.01970308,53.295844,29.953125,0.562016,3.512601,16,129.48,272.848,345.152,215.672,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_charger_bank_shutdown__selfish__uncertain_chat__full_agentic__r001,secondary_role_ablation,full_agentic,full_agentic,aw_charger_bank_shutdown,uncertain_chat,selfish,1,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_charger_bank_shutdown/selfish/uncertain_chat/full_agentic_rep_001.xlsx,e5e84d47c26cda68adf3105e227e5ecace15f98d5f519d3c75e560e9e498bb60,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,2,0,0,2,140.7548214978267,10.57865449168682,130.1761670061399,1600.0,1.581301595221518e-05,0.0,0,0,0,0,0,0.2,0.2130520547945205,0.0,0,9,9,0,104727,38961,65739,27,4811,1210,109538,39.936469,0.02299257,50.947109,18.109375,0.355454,2.22159,16,129.34,246.625,322.637,193.297,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_charger_bank_shutdown__selfish__uncertain_chat__full_agentic__r002,secondary_role_ablation,full_agentic,full_agentic,aw_charger_bank_shutdown,uncertain_chat,selfish,2,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_charger_bank_shutdown/selfish/uncertain_chat/full_agentic_rep_002.xlsx,a547c8aa961e470f016334f8310a243d83228ee0ff58f38dd779271a835708ad,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,2,0,0,2,136.5312855040872,10.33975416893734,126.1915313351499,1700.0,100.0,0.0,0,0,0,0,0,0.2,0.2130520547945205,0.0,0,9,9,0,104603,43779,60797,27,4174,798,108777,40.848994,0.02108903,52.970015,19.515625,0.368428,2.302674,16,129.477,248.473,328.191,198.715,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_charger_bank_shutdown__selfish__uncertain_chat__full_agentic__r003,secondary_role_ablation,full_agentic,full_agentic,aw_charger_bank_shutdown,uncertain_chat,selfish,3,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_charger_bank_shutdown/selfish/uncertain_chat/full_agentic_rep_003.xlsx,0bbb53cde25245c4f49f754371a85521c99f5d0f8e96d827f07ed0d9916d893f,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,2,0,0,2,143.193784440606,13.01761743446612,130.1761670061399,1600.0,1.581301595221518e-05,0.0,0,0,0,0,0,0.2,0.2130520547945205,0.0,0,9,9,0,104082,43779,60276,27,4276,902,108358,38.289231,0.02108118,49.490992,17.71875,0.35802,2.237623,16,129.352,242.855,323.008,193.656,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_charger_bank_shutdown__selfish__uncertain_chat__full_agentic__r004,secondary_role_ablation,full_agentic,full_agentic,aw_charger_bank_shutdown,uncertain_chat,selfish,4,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_charger_bank_shutdown/selfish/uncertain_chat/full_agentic_rep_004.xlsx,18a479607992008f5d1344e683b26696777b3432fda8a9af3cd89b367222c0e1,['gurobi'],[],complete,48,3,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,2,0,0,2,143.7092042506812,21.50231051771119,122.20689373297,1800.0,200.0,0.0,0,0,0,0,0,0.2,0.2130520547945205,0.0,0,11,11,0,129394,49897,79464,33,6299,1258,135693,51.456636,0.02842934,66.099516,21.59375,0.326685,2.041784,16,129.316,263.488,339.465,210.148,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
aw_charger_bank_shutdown__selfish__uncertain_chat__full_agentic__r005,secondary_role_ablation,full_agentic,full_agentic,aw_charger_bank_shutdown,uncertain_chat,selfish,5,True,True,gpt-5.6-luna,False,results/revision/ablation_final_v5/aw_charger_bank_shutdown/selfish/uncertain_chat/full_agentic_rep_005.xlsx,03c33436d3579de571607ad9068c14bf6b6c6b4b2167d0ea0fc672b1b9a79463,['gurobi'],[],complete,48,2,1,2,"{""evaluator"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""pricing"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": false, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}, ""trigger"": {""backend"": ""OpenAIAgentBackend"", ""deterministic_numerical_trigger_fallback"": false, ""evidence_gate"": true, ""model"": ""gpt-5.6-luna"", ""pricing_guidance_variant"": ""base"", ""trigger_confidence_threshold"": 0.0, ""trigger_prompt_variant"": ""baseline""}}",2,2,0,0,2,143.1937858310627,13.01761689373298,130.1761689373297,1600.0,0.0,0.0,0,0,0,0,0,0.2,0.2130520547945205,0.0,0,9,9,0,104621,41522,63072,27,4689,1298,109310,39.638066,0.02223064,50.308186,14.453125,0.287292,1.795573,16,129.617,248.414,325.18,195.562,True,current Python process; native in-process solver work included,OpenAI server-side GPU/FLOPs/energy not exposed by API,,,,,,,,,
