run_id,configuration,case,variant,mode,repetition,workbook,timestep,attempt_count,objective_metric,best_usable_attempt,best_usable_economic_attempt,selected_attempt,evaluator_accepted_attempt,best_usable_objective,best_usable_candidate_objective,selected_objective,selected_is_best_usable_candidate,selected_is_best_usable_objective,selected_objective_regret,accepted_rerun_worse_than_earlier_usable_attempt,accepted_rerun_economically_worse_than_earlier_usable_attempt,rejected_negative_pto_cost_count,no_op_rejection_feedback_count
aw_charger_bank_shutdown__altruistic__uncertain_chat__full_deterministic__r001,full_deterministic,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_charger_bank_shutdown/altruistic/uncertain_chat/full_deterministic.xlsx,5,2,projected_full_day_pto_cost,2,1,2,,118.119122,124.205473,124.205473,True,False,6.086350999999993,False,False,0,0
aw_charger_bank_shutdown__altruistic__uncertain_chat__full_deterministic__r001,full_deterministic,aw_charger_bank_shutdown,uncertain_chat,altruistic,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_charger_bank_shutdown/altruistic/uncertain_chat/full_deterministic.xlsx,11,2,projected_full_day_pto_cost,1,2,1,,124.94611,125.134472,125.134472,True,False,0.18836199999999792,False,False,0,0
aw_charger_bank_shutdown__selfish__uncertain_chat__full_deterministic__r001,full_deterministic,aw_charger_bank_shutdown,uncertain_chat,selfish,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_charger_bank_shutdown/selfish/uncertain_chat/full_deterministic.xlsx,5,2,projected_full_day_aggregator_revenue,2,2,2,,19.547483,19.547483,19.547483,True,True,0.0,False,False,0,0
aw_charger_bank_shutdown__selfish__uncertain_chat__full_deterministic__r001,full_deterministic,aw_charger_bank_shutdown,uncertain_chat,selfish,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_charger_bank_shutdown/selfish/uncertain_chat/full_deterministic.xlsx,11,1,projected_full_day_aggregator_revenue,1,1,1,1.0,20.035988,20.035988,20.035988,True,True,0.0,False,False,0,0
aw_combined_evening__altruistic__uncertain_chat__full_deterministic__r001,full_deterministic,aw_combined_evening,uncertain_chat,altruistic,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_combined_evening/altruistic/uncertain_chat/full_deterministic.xlsx,30,2,projected_full_day_pto_cost,1,1,1,,121.676451,121.676451,121.676451,True,True,0.0,False,False,0,0
aw_combined_evening__altruistic__uncertain_chat__full_deterministic__r001,full_deterministic,aw_combined_evening,uncertain_chat,altruistic,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_combined_evening/altruistic/uncertain_chat/full_deterministic.xlsx,31,1,projected_full_day_pto_cost,1,1,1,1.0,121.676451,121.676451,121.676451,True,True,0.0,False,False,0,0
aw_combined_evening__selfish__uncertain_chat__full_deterministic__r001,full_deterministic,aw_combined_evening,uncertain_chat,selfish,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_combined_evening/selfish/uncertain_chat/full_deterministic.xlsx,30,2,projected_full_day_aggregator_revenue,1,1,1,,28.89715,28.89715,28.89715,True,True,0.0,False,False,0,0
aw_combined_evening__selfish__uncertain_chat__full_deterministic__r001,full_deterministic,aw_combined_evening,uncertain_chat,selfish,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_combined_evening/selfish/uncertain_chat/full_deterministic.xlsx,31,1,projected_full_day_aggregator_revenue,1,1,1,1.0,28.89715,28.89715,28.89715,True,True,0.0,False,False,0,0
aw_route6_late_return__altruistic__uncertain_chat__full_deterministic__r001,full_deterministic,aw_route6_late_return,uncertain_chat,altruistic,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_route6_late_return/altruistic/uncertain_chat/full_deterministic.xlsx,6,2,projected_full_day_pto_cost,2,1,2,,117.375671,123.153139,123.153139,True,False,5.777467999999999,False,False,0,0
aw_route6_late_return__selfish__uncertain_chat__full_deterministic__r001,full_deterministic,aw_route6_late_return,uncertain_chat,selfish,1,results/revision/nonagentic_baseline_v8_confirmatory/aw_route6_late_return/selfish/uncertain_chat/full_deterministic.xlsx,6,2,projected_full_day_aggregator_revenue,2,2,2,,19.42782,19.42782,19.42782,True,True,0.0,False,False,0,0
